patient,t_slice,t-1,t,t+1
1010,007,CRLM-CT-1010_1-006.npy,CRLM-CT-1010_1-007.npy,CRLM-CT-1010_1-008.npy
1010,008,CRLM-CT-1010_1-007.npy,CRLM-CT-1010_1-008.npy,CRLM-CT-1010_1-009.npy
1010,009,CRLM-CT-1010_1-008.npy,CRLM-CT-1010_1-009.npy,CRLM-CT-1010_1-010.npy
1010,010,CRLM-CT-1010_1-009.npy,CRLM-CT-1010_1-010.npy,CRLM-CT-1010_1-011.npy
1010,011,CRLM-CT-1010_1-010.npy,CRLM-CT-1010_1-011.npy,CRLM-CT-1010_1-012.npy
1010,012,CRLM-CT-1010_1-011.npy,CRLM-CT-1010_1-012.npy,CRLM-CT-1010_1-013.npy
1010,013,CRLM-CT-1010_1-012.npy,CRLM-CT-1010_1-013.npy,CRLM-CT-1010_1-014.npy
1010,014,CRLM-CT-1010_1-013.npy,CRLM-CT-1010_1-014.npy,CRLM-CT-1010_1-015.npy
1010,015,CRLM-CT-1010_1-014.npy,CRLM-CT-1010_1-015.npy,CRLM-CT-1010_1-016.npy
1010,016,CRLM-CT-1010_1-015.npy,CRLM-CT-1010_1-016.npy,CRLM-CT-1010_1-017.npy
1010,017,CRLM-CT-1010_1-016.npy,CRLM-CT-1010_1-017.npy,CRLM-CT-1010_1-018.npy
1010,018,CRLM-CT-1010_1-017.npy,CRLM-CT-1010_1-018.npy,CRLM-CT-1010_1-019.npy
1010,019,CRLM-CT-1010_1-018.npy,CRLM-CT-1010_1-019.npy,CRLM-CT-1010_1-020.npy
1010,020,CRLM-CT-1010_1-019.npy,CRLM-CT-1010_1-020.npy,CRLM-CT-1010_1-021.npy
1010,021,CRLM-CT-1010_1-020.npy,CRLM-CT-1010_1-021.npy,CRLM-CT-1010_1-022.npy
1010,022,CRLM-CT-1010_1-021.npy,CRLM-CT-1010_1-022.npy,CRLM-CT-1010_1-023.npy
1010,023,CRLM-CT-1010_1-022.npy,CRLM-CT-1010_1-023.npy,CRLM-CT-1010_1-024.npy
1010,024,CRLM-CT-1010_1-023.npy,CRLM-CT-1010_1-024.npy,CRLM-CT-1010_1-025.npy
1010,025,CRLM-CT-1010_1-024.npy,CRLM-CT-1010_1-025.npy,CRLM-CT-1010_1-026.npy
1010,026,CRLM-CT-1010_1-025.npy,CRLM-CT-1010_1-026.npy,CRLM-CT-1010_1-027.npy
1010,027,CRLM-CT-1010_1-026.npy,CRLM-CT-1010_1-027.npy,CRLM-CT-1010_1-028.npy
1010,028,CRLM-CT-1010_1-027.npy,CRLM-CT-1010_1-028.npy,CRLM-CT-1010_1-029.npy
1016,007,CRLM-CT-1016_1-006.npy,CRLM-CT-1016_1-007.npy,CRLM-CT-1016_1-008.npy
1016,008,CRLM-CT-1016_1-007.npy,CRLM-CT-1016_1-008.npy,CRLM-CT-1016_1-009.npy
1016,009,CRLM-CT-1016_1-008.npy,CRLM-CT-1016_1-009.npy,CRLM-CT-1016_1-010.npy
1016,010,CRLM-CT-1016_1-009.npy,CRLM-CT-1016_1-010.npy,CRLM-CT-1016_1-011.npy
1016,011,CRLM-CT-1016_1-010.npy,CRLM-CT-1016_1-011.npy,CRLM-CT-1016_1-012.npy
1016,012,CRLM-CT-1016_1-011.npy,CRLM-CT-1016_1-012.npy,CRLM-CT-1016_1-013.npy
1016,013,CRLM-CT-1016_1-012.npy,CRLM-CT-1016_1-013.npy,CRLM-CT-1016_1-014.npy
1016,014,CRLM-CT-1016_1-013.npy,CRLM-CT-1016_1-014.npy,CRLM-CT-1016_1-015.npy
1016,015,CRLM-CT-1016_1-014.npy,CRLM-CT-1016_1-015.npy,CRLM-CT-1016_1-016.npy
1016,016,CRLM-CT-1016_1-015.npy,CRLM-CT-1016_1-016.npy,CRLM-CT-1016_1-017.npy
1016,017,CRLM-CT-1016_1-016.npy,CRLM-CT-1016_1-017.npy,CRLM-CT-1016_1-018.npy
1016,018,CRLM-CT-1016_1-017.npy,CRLM-CT-1016_1-018.npy,CRLM-CT-1016_1-019.npy
1016,019,CRLM-CT-1016_1-018.npy,CRLM-CT-1016_1-019.npy,CRLM-CT-1016_1-020.npy
1016,020,CRLM-CT-1016_1-019.npy,CRLM-CT-1016_1-020.npy,CRLM-CT-1016_1-021.npy
1016,021,CRLM-CT-1016_1-020.npy,CRLM-CT-1016_1-021.npy,CRLM-CT-1016_1-022.npy
1016,022,CRLM-CT-1016_1-021.npy,CRLM-CT-1016_1-022.npy,CRLM-CT-1016_1-023.npy
1016,023,CRLM-CT-1016_1-022.npy,CRLM-CT-1016_1-023.npy,CRLM-CT-1016_1-024.npy
1016,024,CRLM-CT-1016_1-023.npy,CRLM-CT-1016_1-024.npy,CRLM-CT-1016_1-025.npy
1017,022,CRLM-CT-1017_1-021.npy,CRLM-CT-1017_1-022.npy,CRLM-CT-1017_1-023.npy
1017,023,CRLM-CT-1017_1-022.npy,CRLM-CT-1017_1-023.npy,CRLM-CT-1017_1-024.npy
1017,024,CRLM-CT-1017_1-023.npy,CRLM-CT-1017_1-024.npy,CRLM-CT-1017_1-025.npy
1017,025,CRLM-CT-1017_1-024.npy,CRLM-CT-1017_1-025.npy,CRLM-CT-1017_1-026.npy
1017,026,CRLM-CT-1017_1-025.npy,CRLM-CT-1017_1-026.npy,CRLM-CT-1017_1-027.npy
1017,027,CRLM-CT-1017_1-026.npy,CRLM-CT-1017_1-027.npy,CRLM-CT-1017_1-028.npy
1017,028,CRLM-CT-1017_1-027.npy,CRLM-CT-1017_1-028.npy,CRLM-CT-1017_1-029.npy
1017,029,CRLM-CT-1017_1-028.npy,CRLM-CT-1017_1-029.npy,CRLM-CT-1017_1-030.npy
1017,030,CRLM-CT-1017_1-029.npy,CRLM-CT-1017_1-030.npy,CRLM-CT-1017_1-031.npy
1017,031,CRLM-CT-1017_1-030.npy,CRLM-CT-1017_1-031.npy,CRLM-CT-1017_1-032.npy
1017,032,CRLM-CT-1017_1-031.npy,CRLM-CT-1017_1-032.npy,CRLM-CT-1017_1-033.npy
1017,033,CRLM-CT-1017_1-032.npy,CRLM-CT-1017_1-033.npy,CRLM-CT-1017_1-034.npy
1017,034,CRLM-CT-1017_1-033.npy,CRLM-CT-1017_1-034.npy,CRLM-CT-1017_1-035.npy
1017,035,CRLM-CT-1017_1-034.npy,CRLM-CT-1017_1-035.npy,CRLM-CT-1017_1-036.npy
1017,036,CRLM-CT-1017_1-035.npy,CRLM-CT-1017_1-036.npy,CRLM-CT-1017_1-037.npy
1017,037,CRLM-CT-1017_1-036.npy,CRLM-CT-1017_1-037.npy,CRLM-CT-1017_1-038.npy
1017,038,CRLM-CT-1017_1-037.npy,CRLM-CT-1017_1-038.npy,CRLM-CT-1017_1-039.npy
1017,039,CRLM-CT-1017_1-038.npy,CRLM-CT-1017_1-039.npy,CRLM-CT-1017_1-040.npy
1017,040,CRLM-CT-1017_1-039.npy,CRLM-CT-1017_1-040.npy,CRLM-CT-1017_1-041.npy
1017,041,CRLM-CT-1017_1-040.npy,CRLM-CT-1017_1-041.npy,CRLM-CT-1017_1-042.npy
1017,042,CRLM-CT-1017_1-041.npy,CRLM-CT-1017_1-042.npy,CRLM-CT-1017_1-043.npy
1017,043,CRLM-CT-1017_1-042.npy,CRLM-CT-1017_1-043.npy,CRLM-CT-1017_1-044.npy
1017,044,CRLM-CT-1017_1-043.npy,CRLM-CT-1017_1-044.npy,CRLM-CT-1017_1-045.npy
1017,045,CRLM-CT-1017_1-044.npy,CRLM-CT-1017_1-045.npy,CRLM-CT-1017_1-046.npy
1017,046,CRLM-CT-1017_1-045.npy,CRLM-CT-1017_1-046.npy,CRLM-CT-1017_1-047.npy
1017,047,CRLM-CT-1017_1-046.npy,CRLM-CT-1017_1-047.npy,CRLM-CT-1017_1-048.npy
1017,048,CRLM-CT-1017_1-047.npy,CRLM-CT-1017_1-048.npy,CRLM-CT-1017_1-049.npy
1017,049,CRLM-CT-1017_1-048.npy,CRLM-CT-1017_1-049.npy,CRLM-CT-1017_1-050.npy
1017,050,CRLM-CT-1017_1-049.npy,CRLM-CT-1017_1-050.npy,CRLM-CT-1017_1-051.npy
1017,051,CRLM-CT-1017_1-050.npy,CRLM-CT-1017_1-051.npy,CRLM-CT-1017_1-052.npy
1017,052,CRLM-CT-1017_1-051.npy,CRLM-CT-1017_1-052.npy,CRLM-CT-1017_1-053.npy
1017,053,CRLM-CT-1017_1-052.npy,CRLM-CT-1017_1-053.npy,CRLM-CT-1017_1-054.npy
1017,054,CRLM-CT-1017_1-053.npy,CRLM-CT-1017_1-054.npy,CRLM-CT-1017_1-055.npy
1017,055,CRLM-CT-1017_1-054.npy,CRLM-CT-1017_1-055.npy,CRLM-CT-1017_1-056.npy
1017,056,CRLM-CT-1017_1-055.npy,CRLM-CT-1017_1-056.npy,CRLM-CT-1017_1-057.npy
1017,057,CRLM-CT-1017_1-056.npy,CRLM-CT-1017_1-057.npy,CRLM-CT-1017_1-058.npy
1017,058,CRLM-CT-1017_1-057.npy,CRLM-CT-1017_1-058.npy,CRLM-CT-1017_1-059.npy
1017,059,CRLM-CT-1017_1-058.npy,CRLM-CT-1017_1-059.npy,CRLM-CT-1017_1-060.npy
1017,060,CRLM-CT-1017_1-059.npy,CRLM-CT-1017_1-060.npy,CRLM-CT-1017_1-061.npy
1017,061,CRLM-CT-1017_1-060.npy,CRLM-CT-1017_1-061.npy,CRLM-CT-1017_1-062.npy
1017,062,CRLM-CT-1017_1-061.npy,CRLM-CT-1017_1-062.npy,CRLM-CT-1017_1-063.npy
1017,063,CRLM-CT-1017_1-062.npy,CRLM-CT-1017_1-063.npy,CRLM-CT-1017_1-064.npy
1017,064,CRLM-CT-1017_1-063.npy,CRLM-CT-1017_1-064.npy,CRLM-CT-1017_1-065.npy
1017,065,CRLM-CT-1017_1-064.npy,CRLM-CT-1017_1-065.npy,CRLM-CT-1017_1-066.npy
1017,066,CRLM-CT-1017_1-065.npy,CRLM-CT-1017_1-066.npy,CRLM-CT-1017_1-067.npy
1017,067,CRLM-CT-1017_1-066.npy,CRLM-CT-1017_1-067.npy,CRLM-CT-1017_1-068.npy
1017,068,CRLM-CT-1017_1-067.npy,CRLM-CT-1017_1-068.npy,CRLM-CT-1017_1-069.npy
1017,069,CRLM-CT-1017_1-068.npy,CRLM-CT-1017_1-069.npy,CRLM-CT-1017_1-070.npy
1017,070,CRLM-CT-1017_1-069.npy,CRLM-CT-1017_1-070.npy,CRLM-CT-1017_1-071.npy
1017,071,CRLM-CT-1017_1-070.npy,CRLM-CT-1017_1-071.npy,CRLM-CT-1017_1-072.npy
1017,072,CRLM-CT-1017_1-071.npy,CRLM-CT-1017_1-072.npy,CRLM-CT-1017_1-073.npy
1017,073,CRLM-CT-1017_1-072.npy,CRLM-CT-1017_1-073.npy,CRLM-CT-1017_1-074.npy
1017,074,CRLM-CT-1017_1-073.npy,CRLM-CT-1017_1-074.npy,CRLM-CT-1017_1-075.npy
1017,075,CRLM-CT-1017_1-074.npy,CRLM-CT-1017_1-075.npy,CRLM-CT-1017_1-076.npy
1017,076,CRLM-CT-1017_1-075.npy,CRLM-CT-1017_1-076.npy,CRLM-CT-1017_1-077.npy
1017,077,CRLM-CT-1017_1-076.npy,CRLM-CT-1017_1-077.npy,CRLM-CT-1017_1-078.npy
1017,078,CRLM-CT-1017_1-077.npy,CRLM-CT-1017_1-078.npy,CRLM-CT-1017_1-079.npy
1017,079,CRLM-CT-1017_1-078.npy,CRLM-CT-1017_1-079.npy,CRLM-CT-1017_1-080.npy
1017,080,CRLM-CT-1017_1-079.npy,CRLM-CT-1017_1-080.npy,CRLM-CT-1017_1-081.npy
1017,081,CRLM-CT-1017_1-080.npy,CRLM-CT-1017_1-081.npy,CRLM-CT-1017_1-082.npy
1017,082,CRLM-CT-1017_1-081.npy,CRLM-CT-1017_1-082.npy,CRLM-CT-1017_1-083.npy
1017,083,CRLM-CT-1017_1-082.npy,CRLM-CT-1017_1-083.npy,CRLM-CT-1017_1-084.npy
1017,084,CRLM-CT-1017_1-083.npy,CRLM-CT-1017_1-084.npy,CRLM-CT-1017_1-085.npy
1017,085,CRLM-CT-1017_1-084.npy,CRLM-CT-1017_1-085.npy,CRLM-CT-1017_1-086.npy
1017,086,CRLM-CT-1017_1-085.npy,CRLM-CT-1017_1-086.npy,CRLM-CT-1017_1-087.npy
1017,087,CRLM-CT-1017_1-086.npy,CRLM-CT-1017_1-087.npy,CRLM-CT-1017_1-088.npy
1017,088,CRLM-CT-1017_1-087.npy,CRLM-CT-1017_1-088.npy,CRLM-CT-1017_1-089.npy
1017,089,CRLM-CT-1017_1-088.npy,CRLM-CT-1017_1-089.npy,CRLM-CT-1017_1-090.npy
1017,090,CRLM-CT-1017_1-089.npy,CRLM-CT-1017_1-090.npy,CRLM-CT-1017_1-091.npy
1017,091,CRLM-CT-1017_1-090.npy,CRLM-CT-1017_1-091.npy,CRLM-CT-1017_1-092.npy
1017,092,CRLM-CT-1017_1-091.npy,CRLM-CT-1017_1-092.npy,CRLM-CT-1017_1-093.npy
1017,093,CRLM-CT-1017_1-092.npy,CRLM-CT-1017_1-093.npy,CRLM-CT-1017_1-094.npy
1017,094,CRLM-CT-1017_1-093.npy,CRLM-CT-1017_1-094.npy,CRLM-CT-1017_1-095.npy
1017,095,CRLM-CT-1017_1-094.npy,CRLM-CT-1017_1-095.npy,CRLM-CT-1017_1-096.npy
1017,096,CRLM-CT-1017_1-095.npy,CRLM-CT-1017_1-096.npy,CRLM-CT-1017_1-097.npy
1017,097,CRLM-CT-1017_1-096.npy,CRLM-CT-1017_1-097.npy,CRLM-CT-1017_1-098.npy
1017,098,CRLM-CT-1017_1-097.npy,CRLM-CT-1017_1-098.npy,CRLM-CT-1017_1-099.npy
1017,099,CRLM-CT-1017_1-098.npy,CRLM-CT-1017_1-099.npy,CRLM-CT-1017_1-100.npy
1017,100,CRLM-CT-1017_1-099.npy,CRLM-CT-1017_1-100.npy,CRLM-CT-1017_1-103.npy
1019,024,CRLM-CT-1019_1-023.npy,CRLM-CT-1019_1-024.npy,CRLM-CT-1019_1-025.npy
1019,025,CRLM-CT-1019_1-024.npy,CRLM-CT-1019_1-025.npy,CRLM-CT-1019_1-026.npy
1019,026,CRLM-CT-1019_1-025.npy,CRLM-CT-1019_1-026.npy,CRLM-CT-1019_1-027.npy
1019,027,CRLM-CT-1019_1-026.npy,CRLM-CT-1019_1-027.npy,CRLM-CT-1019_1-028.npy
1019,028,CRLM-CT-1019_1-027.npy,CRLM-CT-1019_1-028.npy,CRLM-CT-1019_1-029.npy
1019,029,CRLM-CT-1019_1-028.npy,CRLM-CT-1019_1-029.npy,CRLM-CT-1019_1-030.npy
1019,030,CRLM-CT-1019_1-029.npy,CRLM-CT-1019_1-030.npy,CRLM-CT-1019_1-031.npy
1019,031,CRLM-CT-1019_1-030.npy,CRLM-CT-1019_1-031.npy,CRLM-CT-1019_1-032.npy
1019,032,CRLM-CT-1019_1-031.npy,CRLM-CT-1019_1-032.npy,CRLM-CT-1019_1-033.npy
1019,033,CRLM-CT-1019_1-032.npy,CRLM-CT-1019_1-033.npy,CRLM-CT-1019_1-034.npy
1019,034,CRLM-CT-1019_1-033.npy,CRLM-CT-1019_1-034.npy,CRLM-CT-1019_1-035.npy
1019,035,CRLM-CT-1019_1-034.npy,CRLM-CT-1019_1-035.npy,CRLM-CT-1019_1-036.npy
1019,036,CRLM-CT-1019_1-035.npy,CRLM-CT-1019_1-036.npy,CRLM-CT-1019_1-037.npy
1019,037,CRLM-CT-1019_1-036.npy,CRLM-CT-1019_1-037.npy,CRLM-CT-1019_1-038.npy
1019,038,CRLM-CT-1019_1-037.npy,CRLM-CT-1019_1-038.npy,CRLM-CT-1019_1-039.npy
1019,039,CRLM-CT-1019_1-038.npy,CRLM-CT-1019_1-039.npy,CRLM-CT-1019_1-040.npy
1019,040,CRLM-CT-1019_1-039.npy,CRLM-CT-1019_1-040.npy,CRLM-CT-1019_1-041.npy
1019,041,CRLM-CT-1019_1-040.npy,CRLM-CT-1019_1-041.npy,CRLM-CT-1019_1-042.npy
1019,042,CRLM-CT-1019_1-041.npy,CRLM-CT-1019_1-042.npy,CRLM-CT-1019_1-043.npy
1019,043,CRLM-CT-1019_1-042.npy,CRLM-CT-1019_1-043.npy,CRLM-CT-1019_1-044.npy
1019,044,CRLM-CT-1019_1-043.npy,CRLM-CT-1019_1-044.npy,CRLM-CT-1019_1-045.npy
1019,045,CRLM-CT-1019_1-044.npy,CRLM-CT-1019_1-045.npy,CRLM-CT-1019_1-046.npy
1019,046,CRLM-CT-1019_1-045.npy,CRLM-CT-1019_1-046.npy,CRLM-CT-1019_1-047.npy
1019,047,CRLM-CT-1019_1-046.npy,CRLM-CT-1019_1-047.npy,CRLM-CT-1019_1-048.npy
1019,048,CRLM-CT-1019_1-047.npy,CRLM-CT-1019_1-048.npy,CRLM-CT-1019_1-049.npy
1019,049,CRLM-CT-1019_1-048.npy,CRLM-CT-1019_1-049.npy,CRLM-CT-1019_1-050.npy
1019,050,CRLM-CT-1019_1-049.npy,CRLM-CT-1019_1-050.npy,CRLM-CT-1019_1-051.npy
1019,051,CRLM-CT-1019_1-050.npy,CRLM-CT-1019_1-051.npy,CRLM-CT-1019_1-052.npy
1019,052,CRLM-CT-1019_1-051.npy,CRLM-CT-1019_1-052.npy,CRLM-CT-1019_1-053.npy
1019,053,CRLM-CT-1019_1-052.npy,CRLM-CT-1019_1-053.npy,CRLM-CT-1019_1-054.npy
1019,054,CRLM-CT-1019_1-053.npy,CRLM-CT-1019_1-054.npy,CRLM-CT-1019_1-055.npy
1019,055,CRLM-CT-1019_1-054.npy,CRLM-CT-1019_1-055.npy,CRLM-CT-1019_1-056.npy
1019,056,CRLM-CT-1019_1-055.npy,CRLM-CT-1019_1-056.npy,CRLM-CT-1019_1-057.npy
1019,057,CRLM-CT-1019_1-056.npy,CRLM-CT-1019_1-057.npy,CRLM-CT-1019_1-058.npy
1019,058,CRLM-CT-1019_1-057.npy,CRLM-CT-1019_1-058.npy,CRLM-CT-1019_1-059.npy
1019,059,CRLM-CT-1019_1-058.npy,CRLM-CT-1019_1-059.npy,CRLM-CT-1019_1-060.npy
1019,060,CRLM-CT-1019_1-059.npy,CRLM-CT-1019_1-060.npy,CRLM-CT-1019_1-061.npy
1019,061,CRLM-CT-1019_1-060.npy,CRLM-CT-1019_1-061.npy,CRLM-CT-1019_1-062.npy
1019,062,CRLM-CT-1019_1-061.npy,CRLM-CT-1019_1-062.npy,CRLM-CT-1019_1-063.npy
1019,063,CRLM-CT-1019_1-062.npy,CRLM-CT-1019_1-063.npy,CRLM-CT-1019_1-064.npy
1019,064,CRLM-CT-1019_1-063.npy,CRLM-CT-1019_1-064.npy,CRLM-CT-1019_1-065.npy
1019,065,CRLM-CT-1019_1-064.npy,CRLM-CT-1019_1-065.npy,CRLM-CT-1019_1-066.npy
1019,066,CRLM-CT-1019_1-065.npy,CRLM-CT-1019_1-066.npy,CRLM-CT-1019_1-067.npy
1019,067,CRLM-CT-1019_1-066.npy,CRLM-CT-1019_1-067.npy,CRLM-CT-1019_1-068.npy
1019,068,CRLM-CT-1019_1-067.npy,CRLM-CT-1019_1-068.npy,CRLM-CT-1019_1-069.npy
1019,069,CRLM-CT-1019_1-068.npy,CRLM-CT-1019_1-069.npy,CRLM-CT-1019_1-070.npy
1019,070,CRLM-CT-1019_1-069.npy,CRLM-CT-1019_1-070.npy,CRLM-CT-1019_1-071.npy
1019,071,CRLM-CT-1019_1-070.npy,CRLM-CT-1019_1-071.npy,CRLM-CT-1019_1-072.npy
1019,072,CRLM-CT-1019_1-071.npy,CRLM-CT-1019_1-072.npy,CRLM-CT-1019_1-073.npy
1019,073,CRLM-CT-1019_1-072.npy,CRLM-CT-1019_1-073.npy,CRLM-CT-1019_1-074.npy
1019,074,CRLM-CT-1019_1-073.npy,CRLM-CT-1019_1-074.npy,CRLM-CT-1019_1-075.npy
1019,075,CRLM-CT-1019_1-074.npy,CRLM-CT-1019_1-075.npy,CRLM-CT-1019_1-076.npy
1019,076,CRLM-CT-1019_1-075.npy,CRLM-CT-1019_1-076.npy,CRLM-CT-1019_1-077.npy
1019,077,CRLM-CT-1019_1-076.npy,CRLM-CT-1019_1-077.npy,CRLM-CT-1019_1-078.npy
1019,078,CRLM-CT-1019_1-077.npy,CRLM-CT-1019_1-078.npy,CRLM-CT-1019_1-079.npy
1019,079,CRLM-CT-1019_1-078.npy,CRLM-CT-1019_1-079.npy,CRLM-CT-1019_1-080.npy
1019,080,CRLM-CT-1019_1-079.npy,CRLM-CT-1019_1-080.npy,CRLM-CT-1019_1-081.npy
1019,081,CRLM-CT-1019_1-080.npy,CRLM-CT-1019_1-081.npy,CRLM-CT-1019_1-082.npy
1019,082,CRLM-CT-1019_1-081.npy,CRLM-CT-1019_1-082.npy,CRLM-CT-1019_1-083.npy
1019,083,CRLM-CT-1019_1-082.npy,CRLM-CT-1019_1-083.npy,CRLM-CT-1019_1-084.npy
1019,084,CRLM-CT-1019_1-083.npy,CRLM-CT-1019_1-084.npy,CRLM-CT-1019_1-085.npy
1019,085,CRLM-CT-1019_1-084.npy,CRLM-CT-1019_1-085.npy,CRLM-CT-1019_1-086.npy
1019,086,CRLM-CT-1019_1-085.npy,CRLM-CT-1019_1-086.npy,CRLM-CT-1019_1-087.npy
1019,087,CRLM-CT-1019_1-086.npy,CRLM-CT-1019_1-087.npy,CRLM-CT-1019_1-088.npy
1019,088,CRLM-CT-1019_1-087.npy,CRLM-CT-1019_1-088.npy,CRLM-CT-1019_1-089.npy
1019,089,CRLM-CT-1019_1-088.npy,CRLM-CT-1019_1-089.npy,CRLM-CT-1019_1-090.npy
